Intervention types,Study Identifier,Status
Comprehensive care interventions,Wang 2010b,Paper found
Comprehensive care interventions,ZHAO 2010,Paper found
Comprehensive care interventions,SUN 2010,Paper found
Comprehensive care interventions,SU 2012,Paper found
Comprehensive care interventions,JIANG 2012,Paper found
Comprehensive care interventions,Wang 2014a,Paper found
Comprehensive care interventions,Yang 2017a,Paper found
Structured therapeutic psychosocial interventions,He 2012,Paper found
Structured therapeutic psychosocial interventions,Novelli 2018,Paper needed
Support for carers,Pahlavanzadeh 2010,Paper found
Support for carers,Wang 2012e,Paper found
Support for carers,Aboulafia-Brakha 2014,Paper found
Support for carers,Mercedeh 2014,Paper found
Support for carers,Kamkhagi 2015,Paper found
Support for carers,Söylemez 2016,Paper needed
Support for carers,Shata 2017,Paper found
Support for carers,Salamizadeh 2017,Paper found
Support for carers,Mahdavi 2017,Paper found
Support for carers,Lök 2017,Paper found
Support for carers,Orawan 2018,Paper found
Training and education for carers,Amit 2008,Paper found
Training and education for carers,TAN 2010,Paper found
Training and education for carers,Guerra 2011,Paper found
Training and education for carers,Wang 2017e,Paper found
Training and education for carers,Wang 2017c,Paper found
Training and education for carers,Lin 2017,Paper found
